your_decision,doi_r,population,kind,item,action,why,claude,codex,suggested_instead,title_r,year_r,our_originals,mo_originals
,10.1002/ajp.20895,pipeline vs Observatory,different paper,orig-069,human,"judges split (Claude: both, Codex: mo)","both (low): Full text was inaccessible. The abstract says the study replicates previous work on the Mona Foundation sample, i.e. the authors' own Llorente et al. 2009 study of bimanual tube-task laterality in naturalistic housed chimpanzees. The finding being re-tested is Hopkins' population-level right-handedness on the tube task, and the title mirrors Hopkins et al. 2003's 'replication and extension'. Both are plausibly originals the paper re-tests.","mo (high): The paper presents the research as a replication of earlier work on the Mona Foundation chimpanzees, followed by an extension to the Chimfunshi sample. That earlier Mona study is Llorente, Mosquera, and Fabré (2009), whereas Hopkins et al. (2003) provides a captive-setting comparison rather than the directly replicated study.","Llorente, Mosquera, and Fabré (2009), “Manual laterality for simple reaching and bimanual coordinated task in naturalistic housed chimpanzees (Pan troglodytes),” doi:10.1007/s10764-009-9338-1",Population‐level right‐handedness for a coordinated bimanual task in naturalistic housed chimpanzees: replication and extension in 114 animals from Zambia and Spain,2010,Population-Level Right Handedness for a Coordinated Bimanual Task in Chimpanzees: Replication and Extension in a Second Colony of Apes (2003) doi:10.1023/a:1023752816951 [llm_references],Manual laterality for simple reaching and bimanual coordinated task in naturalistic housed chimpanzees (Pan troglodytes) (2009) doi:10.1007/s10764-009-9338-1
,10.1901/jaba.2000.33-239,pipeline vs Observatory,different paper,orig-074,human,"judges split (Claude: ours, Codex: mo)","ours (medium): This JABA 'systematic replication' applies positive peer reporting to socially isolated youth in residential care. That is the intervention and population of Ervin, Miller & Friman 1996 (JABA), the experimental original. Bowers et al. 1999 is a descriptive practice paper about the same technique, and is among the four works the paper cites. The PMC PDF was blocked, so this rests on the abstract, the reference list and the design match.","mo (high): The introduction distinguishes earlier classroom experiments, including Ervin et al. (1996), from Bowers et al.’s 1999 group-home case report. It then explicitly says the present study attempts to experimentally replicate the results of the latter report, making Answer A correct.",,USING POSITIVE PEER REPORTING TO IMPROVE THE SOCIAL INTERACTIONS AND ACCEPTANCE OF SOCIALLY ISOLATED ADOLESCENTS IN RESIDENTIAL CARE: A SYSTEMATIC REPLICATION,2000,FEED THE HUNGRY BEE: USING POSITIVE PEER REPORTS TO IMPROVE THE SOCIAL INTERACTIONS AND ACCEPTANCE OF A SOCIALLY REJECTED GIRL IN RESIDENTIAL CARE (1996) doi:10.1901/jaba.1996.29-251 [llm_references],Merging research and practice: The example of positive peer reporting applied to social rejection (1999) doi:https://www.semanticscholar.org/paper/3a3c847fa514fca8145c09360ce41d9d0e34fd27
,10.1073/pnas.1615198114,pipeline vs Observatory,different paper,orig-076,human,"judges split (Claude: both, Codex: mo)","both (medium): The paper manually reanalyses Stern's (2014) own song recordings, whose automated analysis failed to reproduce the period-dependent song cycles, and in doing so re-tests Kyriacou & Hall's (1980) original finding. It is simultaneously a re-analysis of Stern 2014 and a confirmation of Kyriacou & Hall 1980, so both answers name a study the paper genuinely re-examines.","mo (high): The paper identifies Kyriacou and Hall’s 1980 study as the first report of the courtship-song oscillation and its modulation by period mutations. Stern (2014) is described as a later failed replication whose recordings are reanalyzed, not as the original study.",,Failure to reproduce <i>period</i> -dependent song cycles in <i>Drosophila</i> is due to poor automated pulse-detection and low-intensity courtship,2017,Reported Drosophila courtship song rhythms are artifacts of data analysis (2014) doi:10.1186/1741-7007-12-38 [llm_references],Circadian rhythm mutations in Drosophila melanogaster affect short-term fluctuations in the male's courtship song (1980) doi:10.1073/pnas.77.11.6729
,10.1371/journal.pone.0227629,pipeline vs Observatory,different paper,orig-079,human,"judges split (Claude: mo, Codex: both)","mo (high): The paper replicates two studies: the virtual-maze navigation study [11] (Moffat, Hampson & Hatzipantelis 1998) and the Proteus-effect height/negotiation study [13], which the reference list gives as Yee, Bailenson & Ducheneaut 2009 (Communication Research). B names both; A names only a Yee & Bailenson 2007 paper, which is not the cited original and misses the maze study.","both (high): The paper reports two replications: the virtual-maze experiment, corresponding to Moffat et al. (1998), and the original Proteus-effect negotiation experiment, corresponding to Yee and Bailenson (2007). Thus A names one genuine original, while B names the other; however, B’s additional 2009 Proteus-effect paper is related prior work rather than the paper identified in Study 2 as the original experiment.","Moffat, Hampson & Hatzipantelis (1998), “Navigation in a ‘virtual’ maze: Sex differences and correlation with psychometric measures of spatial ability in humans,” DOI: 10.1016/S1090-5138(97)00104-9; and Yee & Bailenson (2007), “The Proteus effect: The effect of transformed self-representation on behavior,” DOI: 10.1111/j.1468-2958.2007.00299.x.","Conducting online virtual environment experiments with uncompensated, unsupervised samples",2020,The Proteus effect: The effect of transformed self-representation on behavior (2007) doi:10.1111/j.1468-2958.2007.00299.x [llm_title_search],"Navigation in a ""virtual"" maze: Sex differences and correlation with psychometric measures of spatial ability in humans (1998) doi:10.1016/s1090-5138(97)00104-9 || The Proteus effect: Implications of transformed digital self-representation on online and offline behavior (2009) doi:10.1177/0093650208330254"
,10.1371/journal.pone.0086462,pipeline vs Observatory,different paper,orig-089,human,"judges split (Claude: both, Codex: mo)","both (medium): The Discussion names Jovanovic et al. [1] (2005) as the original findings replicated, including transfer of inhibition; the abstract's replicated claim that transfer requires contingency awareness is also the subject of Jovanovic et al. 2006 (ref [21], cited alongside [1]). Both are studies the paper genuinely re-tests.",mo (high): The paper explicitly identifies Jovanovic et al. [1] as the source of the original paradigm and says it replicated that study’s original findings. Reference [1] is the 2005 paper named in Answer A; the 2006 paper in Answer B is reference [21] and provides additional prior evidence about contingency awareness.,,Fear Inhibition in High Trait Anxiety,2014,Contingency awareness and fear inhibition in a human fear-potentiated startle paradigm. (2006) doi:10.1037/0735-7044.120.5.995 [llm_references],Fear potentiation and fear inhibition in a human fear-potentiated startle paradigm (2005) doi:10.1016/j.biopsych.2005.02.025
,10.1080/20473869.2022.2044594,pipeline vs Observatory,different paper,orig-094,human,"judges split (Claude: both, Codex: mo)","both (medium): The paper says it 'replicated and expanded upon Page and Islam's (2015) study' on personality predictors. It also says it replicated the earlier finding that quality of contact was the strongest predictor, which is McManus et al.'s finding, and it uses their contact and knowledge measures. Both studies' findings are re-tested. Page & Islam is the main template.","mo (high): The introduction explicitly states that the authors replicated and expanded Page and Islam’s 2015 Australian study. McManus et al. supplied measures and prior findings, but the paper identifies Page and Islam as the study being replicated.","Page SL; Islam MR (2015), “The role of personality variables in predicting attitudes toward people with intellectual disability: An Australian perspective,” doi:10.1111/jir.12180",Personality traits predict attitudes toward individuals with intellectual disability,2022,Contact and knowledge as predictors of attitudes toward individuals with intellectual disabilities (2010) doi:10.1177/0265407510385494 [llm_references],The role of personality variables in predicting attitudes toward people with intellectual disability: An Australian perspective (2015) doi:10.1111/jir.12180
,10.1038/s41598-022-10647-5,pipeline vs Observatory,different paper,orig-098,human,"judges split (Claude: mo, Codex: ours)","mo (high): The replicated pre/post-stimulus theta phase effect in visual search is cited as ref 20, and the paper uses the 'same task as in 20'. The paper's Table 1 describes ref 20 as a visual-search TMS-over-V1 plus EEG study, which is Dugué, Marque & VanRullen 2015 (JoCN). The 2011 JNeurosci paper is about phosphene perception, not visual search.","ours (high): The replication paper identifies reference 20 as the prior study whose visual-search task and pre-/post-stimulus phase effects it replicates. In the paper’s study table, reference 20 is the Dugué et al. experiment combining EEG phase dependence with TMS modulation of V1, which corresponds to the 2011 Journal of Neuroscience paper in Answer A, whereas the 2015 paper is a different behavioral study.","Dugué, Marqué, and VanRullen (2011), “The phase of ongoing oscillations mediates the causal relation between brain excitation and visual perception,” doi:10.1523/JNEUROSCI.1161-11.2011",Periodic attention operates faster during more complex visual search,2022,The phase of ongoing oscillations mediates the causal relation between brain excitation and visual perception (2011) doi:10.1523/jneurosci.1161-11.2011 [llm_title_search],Theta oscillations modulate attentional search performance periodically (2015) doi:10.1162/jocn_a_00755
,10.1371/journal.pone.0332478,pipeline vs Observatory,different paper,orig-103,human,"judges split (Claude: ours, Codex: mo)",ours (medium): This paper re-analyses the same MRI data as Salman et al.'s 2025 replication study to test whether that study's finding (reduced thalamic susceptibility) holds across processing and analysis pipelines. Rudko et al. 2014 was the original of that earlier replication and appears here only as background.,"mo (high): The paper identifies Rudko et al. (2014) as the original study whose reported increase in thalamic susceptibility was replicated and challenged. Salman et al. (2025) is the intervening replication study that the present methodological follow-up tests for robustness, not the original study.","Rudko et al. (2014), “Multiple sclerosis: improved identification of disease-relevant changes in gray and white matter by using susceptibility-based MR imaging,” doi:10.1148/radiol.14132475",Impact of processing and analysis methodology on thalamic susceptibility assessment in multiple sclerosis,2025,Thalamic iron in multiple sclerosis: Waning support for the early-rise late-decline hypothesis (2025) doi:10.1016/j.nicl.2025.103771 [llm_title_search],Multiple sclerosis: improved identification of disease-relevant changes in gray and white matter by using susceptibility-based MR imaging (2014) doi:10.1148/radiol.14132475
,10.1001/archpsyc.1996.01830080033007,pipeline vs Observatory,different paper,orig-105,human,"judges split (Claude: mo, Codex: both)","mo (medium): The paper's full title is 'Replication of the Stockholm Adoption Study of alcoholism: Confirmatory cross-fostering analysis', and it reuses the discriminant-analysis classification from the original to test type 1/type 2 heritability in adopted men. That is the 1981 cross-fostering analysis of adopted men (B). Answer A is a 1985 book chapter on psychopathology in adopted-out children, a secondary report of the Stockholm cohort, not the cross-fostering analysis being confirmed.","both (medium): Both answers are reports of the same original Stockholm Adoption Study that the Gothenburg study re-tested. Answer B is the initial 1981 male-adoptee cross-fostering analysis, while Answer A is a 1985 synthesis of the Stockholm male and female cohorts and the same two-type finding; the rubric permits both when they are reports of the same genuinely re-tested study.","Cloninger, Bohman & Sigvardsson (1981), Inheritance of alcohol abuse: cross-fostering analysis of adopted men, doi:10.1001/archpsyc.1981.01780330019001",Replication of the Stockholm Adoption Study of Alcoholism,1996,Psychopathology in Adopted-out Children of Alcoholics The Stockholm Adoption Study (1985) doi:10.1007/978-1-4615-7715-7_4 [llm_references],Inheritance of alcohol abuse: cross-fostering analysis of adopted men (1981) doi:10.1001/archpsyc.1981.01780330019001
,10.1002/bdr2.1773,pipeline vs Observatory,different paper,orig-106,human,"judges split (Claude: mo, Codex: both)","mo (high): The introduction says the aim is to replicate the findings of the previous European (EUROCAT) study on maternal risk factors for VACTERL (Van de Putte 2019), i.e., ART, pregestational diabetes and CLOPD. Czeizel & Ludanyi 1985 is only cited as background for primiparity, which is an additional factor rather than the replicated finding.","both (high): The paper explicitly identifies the 2019 European study in Answer B as the previous study whose maternal-risk-factor findings it aimed to replicate. It also specifically re-tests the primiparity finding from Czeizel and Ludányi (1985), named in Answer A, and states that it replicated that finding; therefore both qualify as originals genuinely re-tested.",,Maternal risk associated with the<scp>VACTERL</scp>association: A case–control study,2020,An aetiological study of the VACTERL-association (1985) doi:10.1007/bf00441773 [llm_title_search],Environmental risk factors for the VACTERL association: A EUROCAT case-control study (2019) doi:10.1002/bdr2.1686
,10.1002/jae.2850,pipeline vs Observatory,different paper,orig-107,human,"judges split (Claude: both, Codex: ours)","both (medium): The paper replicates Chudik, Kapetanios & Pesaran's OCMT results as published in Econometrica 2018 (B). Answer A is the Dallas Fed working-paper version of the same study with the same title and authors, so both name the same original work. B is the exact published version the paper cites.","ours (high): The publisher abstract explicitly identifies Chudik, Kapetanios, and Pesaran’s 2018 Econometrica article, volume 86, pages 1479–1512, as the work being replicated. Answer B gives that published article’s DOI, 10.3982/ECTA14176, whereas Answer A gives a working-paper DOI.","Chudik, Kapetanios & Pesaran (2018), Econometrica 86, 1479-1512, doi:10.3982/ecta14176","A one covariate at a time, multiple testing approach to variable selection in high‐dimensional linear regression models: A replication in a narrow sense",2021,"A One Covariate at a Time, Multiple Testing Approach to Variable Selection in High-Dimensional Linear Regression Models (2018) doi:10.3982/ecta14176 [llm_references]","A one covariate at a time, multiple testing approach to variable selection in highdimensional linear regression models (2018) doi:10.24149/gwp290"
,10.1002/jeab.567,pipeline vs Observatory,different paper,orig-108,human,"judges split (Claude: mo, Codex: both)","mo (medium): The paper tests whether longer extinction exposure reduces resurgence, a finding it attributes chiefly to the 'now seminal' Leitenberg, Rawson & Mulick (1975) study, which it describes in detail and whose clinical implications motivate the study. Sweeney & Shahan (2013) is cited only in a list of supporting laboratory studies, and the model predictions come from Shahan & Sweeney 2011. Still, the replication is a clinical translation of a general finding rather than a direct replication of one paper.","both (high): The paper sets out to replicate the laboratory finding that longer exposure to extinction reduces resurgence, and it explicitly identifies both Leitenberg et al. (1975) and Sweeney and Shahan (2013) among the laboratory studies supporting that finding. Leitenberg et al. is treated as the seminal example, but Sweeney and Shahan also directly tested the same time-in-extinction effect that the replication re-tests, so both answers qualify.",,A preliminary evaluation of treatment duration on the resurgence of destructive behavior,2019,Behavioral momentum and resurgence: Effects of time in extinction and repeated resurgence tests (2013) doi:10.3758/s13420-013-0116-8 [llm_title_search],Extinction and reinforcement of alternative behavior (1975) doi:10.1037/h0076418
,10.1016/s0022-3956(96)00061-1,pipeline vs Observatory,different paper,orig-114,human,"judges split (Claude: mo, Codex: both)","mo (medium): The replication re-tests the claimed association between thyroid abnormalities and ADHD, whose positive evidence is Weiss et al. 1993 (a higher prevalence of thyroid abnormalities in 277 ADHD children than in controls), following Hauser et al. 1993. Spencer et al. 1995 is itself a later non-confirmation, which the present study says it supports, so it is not the original.","both (high): The paper frames its study as another direct test of the same ADHD–thyroid-function association examined by Weiss et al. (1993), whose positive finding it challenges, and by Spencer et al. (1995), whose null finding it supports. Because the introduction explicitly situates both studies as the conflicting prior tests motivating this replication and the discussion compares the new results with Spencer et al., both listed studies are genuine originals re-tested by the paper.",,Thyroid function in attention deficit and hyperactivity disorder,1997,"ADHD and thyroid ahnormahtie,~: a research note (1995) doi:10.1111/j.1469-7610.1995.tb01335.x [llm_title_search]",Attention-deficit hyperactivity disorder and thyroid function (1993) doi:10.1016/s0022-3476(05)80947-3
,10.1017/s0272263100015394,pipeline vs Observatory,different paper,orig-116,human,"judges split (Claude: both, Codex: ours)","both (medium): The paper replicates VanPatten & Cadierno (1993), the processing-instruction study of Spanish object pronouns. That single experiment was published in two 1993 reports: Modern Language Journal ('Input processing and second language acquisition: A role for instruction', A) and SSLA ('Explicit instruction and input processing', B). Both answers name reports of the original study.","ours (high): The publisher’s abstract explicitly says the paper replicates VanPatten and Cadierno (1993), and its reference list identifies that work as “Explicit Instruction and Input Processing.” The study described there also matches the replication’s sentence-interpretation and production measures and its comparison involving processing instruction.","VanPatten, B., & Cadierno, T. (1993). Explicit Instruction and Input Processing. DOI: 10.1017/S0272263100011979.",Explanation versus Structured Input in Processing Instruction,1996,Explicit Instruction and Input Processing (1993) doi:10.1017/s0272263100011979 [llm_references],Input processing and second language acquisition: A role for instruction (1993) doi:10.2307/329557
,10.1017/s1930297500003144,pipeline vs Observatory,different paper,orig-117,human,"judges split (Claude: ours, Codex: mo)","ours (high): The large-scale study re-tests the unconscious thought advantage introduced by Dijksterhuis et al. 2006 (Science), and its own title echoes that paper's title. Nieuwenstein & van Rijn 2012 (A) is the authors' own earlier set of replication failures, not the original finding.","mo (high): The full text identifies Nieuwenstein and Van Rijn (2012) as the direct basis for the large-scale replication. It specifically states that the new study replicated that paper’s first experiment, whereas Dijksterhuis et al. (2006) is treated as a seminal earlier study of the general effect.","Nieuwenstein & Van Rijn (2012), “The unconscious thought advantage: Further replication failures from a search for confirmatory evidence,” doi:10.1017/S1930297500003338",On making the right choice: A meta-analysis and large-scale replication attempt of the unconscious thought advantage,2015,On Making the Right Choice: The Deliberation-Without-Attention Effect (2006) doi:10.1126/science.1121629 [llm_references],The unconscious thought advantage: Further replication failures from a search for confirmatory evidence (2012) doi:10.1017/s1930297500003338
,10.1080/13554790490507614,pipeline vs Observatory,different paper,orig-124,human,"judges split (Claude: ours, Codex: mo)","ours (low): Full text was inaccessible, and both Miceli et al. 1997 and Rapp et al. 1997 are in the reference list. The replication's defining paradigm, double naming (temporally close spoken and written responses to the same picture yielding lexically inconsistent responses), and the paper's title closely mirror Miceli, Benvegnù, Capasso & Caramazza 1997 (patient WMA). That makes B the more likely replicated original, though Rapp et al. could also be a co-target.","mo (medium): Piras and Marangolo reproduce the distinctive pattern reported by Rapp, Benzing, and Caramazza: intact semantics, severely impaired phonology–orthography conversion, and substantially better written than spoken picture naming. Miceli et al.’s WMA instead had damage to the semantic component, making Answer A the closer and more defensible original study.","Brenda Rapp, Lisa Benzing, and Alfonso Caramazza (1997), “The Autonomy of Lexical Orthography,” doi:10.1080/026432997381628",Independent Access to Phonological and Orthographic Lexical Representations: A Replication Study,2004,The Independence of Phonological and Orthographic Lexical Forms: Evidence from Aphasia (1997) doi:10.1080/026432997381619 [llm_references],The autonomy of lexical orthography (1997) doi:10.1080/026432997381628
,10.1093/scan/nst102,pipeline vs Observatory,different paper,orig-130,human,"judges split (Claude: both, Codex: ours)","both (medium): The paper directly replicates Paxton et al. (2011), 'Reflection and reasoning in moral judgment', for the original dilemma. It also re-tests Kahane et al.'s claim with their new dilemma, and its title frames the paper as a reply to Kahane. Answer B's title and year identify Paxton et al., but its authors and DOI (Herec et al., cogs.13168) belong to a different, later paper, so the correct Paxton citation is given here.",ours (high): The paper tests Kahane et al.’s claim using one of Kahane et al.’s new dilemmas and explicitly describes its design as a direct test of their alternative hypothesis. Answer B names a later paper that replicated different work and therefore cannot be the original targeted here.,"Paxton, J. M., Ungar, L., & Greene, J. D. (2012/online 2011). Reflection and reasoning in moral judgment. Cognitive Science 36(1), 163-177. doi:10.1111/j.1551-6709.2011.01210.x",Are ‘counter-intuitive’ deontological judgments really counter-intuitive? An empirical reply to Kahane<i>et al.</i>(2012),2013,The neural basis of intuitive and counterintuitive moral judgment (2011) doi:10.1093/scan/nsr005 [llm_references],Reflection and reasoning in moral judgment (2011) doi:10.1111/cogs.13168
,10.1177/1526924816641814,pipeline vs Observatory,different paper,orig-142,human,"judges split (Claude: ours, Codex: mo)","ours (medium): The prior study showing that a lone ICRO is of little use is the authors' own IIFF-model field experiment (Alvaro et al. 2011), which compared an ICRO with the full IIFF model, as this one does. Salim et al. 2014 is a kiosk study by other authors and does not test the IIFF components.","mo (high): The replication paper describes re-testing the finding that a lone, passive immediate registration opportunity has little utility. Salim et al. (2014), explicitly cited by the paper, compared unstaffed kiosks providing that opportunity with staffed kiosks supplying engagement and information; Answer A instead concerns whether providing an immediate registration opportunity increases registration.","Alvaro, Siegel & Jones (2011), Psychology, Health & Medicine, doi:10.1080/13548506.2011.564353",The Potential (F)utility of a Passive Organ Donor Registration Opportunity,2016,Increasing organ donor registration rates by providing an immediate and complete registration opportunity: An experimental assessment of the IIFF model (2011) doi:10.1080/13548506.2011.564353 [llm_references],Improving organ donor registration using kiosks in primary care clinics (2014) doi:10.1177/0017896914559854
,10.1371/journal.pone.0155554,pipeline vs Observatory,different paper,orig-150,human,"judges split (Claude: ours, Codex: both)","ours (medium): The study is framed as testing the postnatal stability of smoking-associated methylation, established in adolescents [6] (Lee et al.), across the lifecourse [7] (Richmond et al.) and in 3-5-year-olds [8] (Ladd-Acosta et al.). Its conclusion is that it 'replicated previous findings confirming the postnatal stability'. Joubert et al. (newborns [2]) is the discovery source of the CpGs but reports a newborn finding, not the postnatal persistence this paper re-tests.","both (high): The paper explicitly compares its EWAS results with the prior studies represented in both answers. It reports that the significant CNTNAP2 and MYO1G CpGs were previously found in newborns (Joubert et al., Answer B), adolescents and longitudinal cohorts (Lee and Richmond), and children aged 3–5 years (Ladd-Acosta), all listed in Answer A.",,Maternal Smoking during Pregnancy and DNA-Methylation in Children at Age 5.5 Years: Epigenome-Wide-Analysis in the European Childhood Obesity Project (CHOP)-Study,2016,Prenatal Exposure to Maternal Cigarette Smoking and DNA Methylation: Epigenome-Wide Association in a Discovery Sample of Adolescents and Replication in an Independent Cohort at Birth through 17 Years of Age (2015) doi:10.1289/ehp.1408614 [llm_title_search] || Prenatal exposure to maternal smoking and offspring DNA methylation across the lifecourse: findings from the Avon Longitudinal Study of Parents and Children (ALSPAC) (2015) doi:10.1093/hmg/ddu739 [llm_title_search] || Presence of an epigenetic signature of prenatal cigarette smoke exposure in childhood (2016) doi:10.1016/j.envres.2015.11.014 [llm_title_search],450K epigenome-wide scan identifies differential DNA methylation in newborns related to maternal smoking during pregnancy (2012) doi:10.1289/ehp.1205412
,10.1371/journal.pone.0255484,pipeline vs Observatory,different paper,orig-152,human,"judges split (Claude: mo, Codex: both)","mo (medium): The finding re-tested is that raising blood glucose reduces delay discounting, from Wang & Dvorak (2010) (ref [3]); the paper adopts 'virtually the same procedures' as [3]. Sawicki et al. (2019) [8] is itself a failed replication that proposed the palatability moderator. The paper tests that proposed mechanism, which is not an original finding being replicated.","both (high): The paper re-tests the positive blood-glucose effect reported in Wang and Dvorak (Answer B), explicitly noting that its procedure closely followed earlier studies such as reference [3]. It also directly extends and confirms the solid-food null findings of Sawicki et al. (Answer A), identified as reference [8], by testing that study’s proposed explanation involving meal pleasantness. Thus both earlier studies are genuine targets of the present replication/extension.",,"Perceived food palatability, blood glucose level and future discounting: Lack of evidence for blood glucose level’s impact on reward discounting",2021,Increasing blood glucose level via breakfast meals is not connected with changes in delay discounting (2019) doi:10.1016/j.physbeh.2019.112619 [llm_title_search],Sweet future: fluctuating blood glucose levels affect future discounting (2010) doi:10.1177/0956797609358096
,10.2466/pms.1968.26.2.559,pipeline vs Observatory,different paper,orig-157,human,"judges split (Claude: cannot_tell, Codex: mo)","cannot_tell (low): The paper's full text is paywalled; the abstract refers only to 'a prior experiment' (retention instructions) and 'a prior finding' (voice-change correlation). Its reference list includes all four candidates (King 1963, King & Dodge 1965, Harper & King 1967, King 1968 in press), so I could not determine which two reports the unusual findings came from.","mo (high): The introduction explicitly attributes the first unusual finding to King (1963) and the second to King’s then-in-press study. The reference list identifies that in-press paper as “Predicting the amount of forgetting of connected meaningful material presented under delayed auditory feedback,” so Answer B names both originals.",,Replication Study of Two Unusual Findings on the Influence of Delayed Auditory Feedback on Retention,1968,The Influence of Oral Recall on Immediate and Delayed Memory for Meaningful Material Practiced Under Delayed Auditory Feedback (1965) doi:10.1080/00223980.1965.9916786 [llm_references] || Retention of Material Practiced under Delayed Auditory Feedback: Preliminary Observations on Two Additional Variables (1967) doi:10.2466/pr0.1967.21.2.431 [llm_references],Immediate memory of connected meaningful material practiced under delayed auditory feedback (1963) doi:10.2466/pr0.1963.13.1.91 || Predicting the amount of forgetting of connected meaningful material presented under delayed auditory feedback (1968) doi:10.1080/00221309.1968.9710457
,10.3389/fpsyg.2024.1472489,pipeline vs Observatory,different paper,orig-168,human,"judges split (Claude: ours, Codex: mo)","ours (medium): The paper aims to replicate the b-CFS threat bias for fearful faces, a pattern it cites across the literature. Yang, Zald & Blake (2007) is the original empirical demonstration of that effect. Hedger et al. (2016) is a meta-analysis, not an original study.","mo (high): The paper explicitly states that its first aim is to replicate the earlier finding cited to Hedger et al. (2016), which is Answer A. Yang et al. (2007) is cited as one of several studies supporting the broader background claim, but it is not identified as the specific replication target.",,Setting the tone: crossmodal emotional face-voice combinations in continuous flash suppression,2025,Fearful expressions gain preferential access to awareness during continuous flash suppression. (2007) doi:10.1037/1528-3542.7.4.882 [llm_references],Are visual threats prioritized without awareness? A critical review and meta-analysis involving 3 behavioral paradigms and 2696 observers (2016) doi:10.1037/bul0000054
,10.1037/a0037397,pipeline vs Observatory,DOI: formatting,,fix DOI,side A writes the DOI with '//' or URL-encoding,,,,Limits on action priming by pictures of objects.,2014,On the relations between seen objects and components of potential actions. (1998) doi:10.1037//0096-1523.24.3.830 [llm_cited_candidates],On the relations between seen objects and components of potential actions (1998) doi:10.1037/0096-1523.24.3.830
,10.1111/bjop.12767,pipeline vs Observatory,DOI: formatting,,fix DOI,side A writes the DOI with '//' or URL-encoding,,,,New evidence finds young people in Mainland China are now bicultural,2025,Multicultural minds: A dynamic constructivist approach to culture and cognition. (2000) doi:10.1037//0003-066x.55.7.709 [llm_references],Multicultural minds: A dynamic constructivist approach to culture and cognition (2000) doi:10.1037/0003-066x.55.7.709
,10.1017/s1461145701002322,pipeline vs Observatory,DOI: mistake,,fix DOI,"side A names Khan et al. 2000 (antidepressant trials, Arch Gen Psychiatry) by title and year but carries the DOI of Khan et al. 2001 (antipsychotic trials, Am J Psychiatry)",,,,Symptom reduction and suicide risk in patients treated with placebo in antidepressant clinical trials: a replication analysis of the Food and Drug Administration Database,2001,Symptom reduction and suicide risk in patients treated with placebo in antidepressant clinical trials : an analysis of the Food and Drug Administration database (2000) doi:10.1176/appi.ajp.158.9.1449 [llm_title_search],Symptom reduction and suicide risk in patients treated with placebo in antidepressant clinical trials: an analysis of the Food and Drug Administration database (2000) doi:10.1001/archpsyc.57.4.311
,10.1111/acps.12959,pipeline vs Observatory,DOI: mistake,,fix DOI,"A: DOI points to a Year Book abstract digest, not the article · B: article of record",,,,Clinical factors predicting treatment resistant depression: affirmative results from the European multicenter study,2018,Clinical factors associated with treatment resistance in major depressive disorder: results from a European multicenter study (2007) doi:10.1016/s0084-3970(08)79088-1 [llm_fulltext],Clinical factors associated with treatment resistance in major depressive disorder: results from a European multicenter study (2007) doi:10.4088/jcp.v68n0713
,10.1177/0022022100031003001,pipeline vs Observatory,DOI: mistake,,fix DOI,"both DOIs are book REVIEWS (ASQ 1983, Design Studies 1982) of Hofstede's Culture's Consequences (1980), a book with no DOI",,,,Culture in the Cockpit,2000,Culture's Consequences: International Differences in Work-Related Values. (1983) doi:10.2307/2393017 [llm_references],Culture's consequences: International differences in work-related values (1980) doi:10.1016/0142-694x(82)90089-8
,10.1371/journal.pone.0095045,pipeline vs Observatory,DOI: mistake,,fix DOI,"A: DOI points to a Year Book abstract digest, not the article · B: article of record",,,,Validation of Type 2 Diabetes Risk Variants Identified by Genome-Wide Association Studies in Han Chinese Population: A Replication Study and Meta-Analysis,2014,Metaanalysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes (2008) doi:10.1016/s0084-3741(08)79224-2 [llm_fulltext],Metaanalysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes (2008) doi:10.1038/ng.120
,10.1002/jae.2677,pipeline vs Observatory,DOI: alternative identifier,,prefer journal DOI,A: NBER working paper · B: article of record,,,,A factor‐augmented vector autoregressive (FAVAR) approach for monetary policy: Replication of the empirical results in “measuring the effects of monetary policy”,2018,Measuring the Effects of Monetary Policy: A Factor-Augmented Vector Autoregressive (FAVAR) approach (2005) doi:10.3386/w10220 [llm_title_search],Measuring the Effects of Monetary Policy: A Factor-Augmented Vector Autoregressive (FAVAR) approach (2005) doi:10.1162/0033553053327452
,10.1111/jofi.13063,pipeline vs Observatory,DOI: alternative identifier,,prefer journal DOI,A: NBER working paper · B: the article of record — RETRACTED,,,,Risk Management in Financial Institutions: A Replication,2021,Risk management in financial institutions (2020) doi:10.3386/w25698 [llm_title_search],Risk management in financial institutions (2020) doi:10.1111/jofi.12868
,10.1371/journal.pone.0217436,pipeline vs Observatory,DOI: alternative identifier,,prefer journal DOI,A: book reprint · B: article of record,,,,Manipulating the reported age in earliest memories in a Dutch community sample,2019,Manipulating the reported age in earliest memories (2017) doi:10.4324/9781003030102-2 [llm_references],Manipulating the reported age in earliest memories (2019) doi:10.1080/09658211.2017.1396345
,10.1371/journal.pone.0255424,pipeline vs Observatory,DOI: alternative identifier,,prefer journal DOI,A: bioRxiv/medRxiv preprint · B: article of record,,,,Parietal alpha tACS shows inconsistent effects on visuospatial attention,2021,Left parietal tACS at alpha frequency induces a shift of visuospatial attention (2019) doi:10.1101/644237 [llm_title_search],Left parietal tACS at alpha frequency induces a shift of visuospatial attention (2019) doi:10.1371/journal.pone.0217729
