ref_o,doi_o,study_o,year_o,ref_r,doi_r,url_r,study_r,abstract_r,year_r,outcome,outcome_quote,out_quote_source,type,quote_validated,quote_similarity,pathway_source,validation_status,readiness_level,multi_target,flora_match_type,original_source,prep_notes,match_status,match_method,match_confidence
"Levine, R., Beck, T., & Loayza, N. (1999). Financial Intermediation and Growth: Causality and Causes. In Policy Research Working Papers. The World Bank. https://doi.org/10.1596/1813-9450-2059",10.1596/1813-9450-2059,Financial Intermediation and Growth: Causality and Causes,1999.0,"Bazzi, S., & Clemens, M. A. (2013). Blunt Instruments: Avoiding Common Pitfalls in Identifying the Causes of Economic Growth. American Economic Journal: Macroeconomics, 5(2), 152–186. https://doi.org/10.1257/mac.5.2.152",10.1257/mac.5.2.152,https://doi.org/10.1257/mac.5.2.152,Blunt Instruments: Avoiding Common Pitfalls in Identifying the Causes of Economic Growth,"Concern has intensified in recent years that many instrumental variables used in widely-cited growth regressions may be invalid, weak, or both. Attempts to remedy this general problem remain inadequate. We show how a range of published studies can offer more evidence that their results are not spurious. Key steps include: grounding growth regressions in more generalized theoretical models, deployment of new methods for estimating sensitivity to violations of exclusion restrictions, opening the “black box” of GMM with supportive evidence of instrument strength, and utilization of weak-instrument robust tests and estimators. (JEL C52, E23, F35, O41, O47)",2013.0,,,,,,,observatory,false_positive,7,True,,manual_entry,observatory: The abstract describes a methodological/perspective paper about instrument validity and methods for growth regressions and refers broadly to a range of published studies rather than reanalyzing or collecting new data to replicate a specific prior study. No single original study is identified or targeted.,unmatched,,
"Acemoglu, D., Johnson, S., & Robinson, J. A. (2002). Reversal of Fortune: Geography and Institutions in the Making of the Modern World Income Distribution. The Quarterly Journal of Economics, 117(4), 1231–1294. https://doi.org/10.1162/003355302320935025",10.1162/003355302320935025,Reversal of Fortune: Geography and Institutions in the Making of the Modern World Income Distribution,2002.0,"Chanda, A., Cook, C. J., & Putterman, L. (2014). Persistence of Fortune: Accounting for Population Movements, There Was No Post-Columbian Reversal. American Economic Journal: Macroeconomics, 6(3), 1–28. https://doi.org/10.1257/mac.6.3.1",10.1257/mac.6.3.1,https://doi.org/10.1257/mac.6.3.1,"Persistence of Fortune: Accounting for Population Movements, There Was No Post-Columbian Reversal","Using data on place of origin of today's country populations and the indicators of level of development in 1500 used by Acemoglu, Johnson, and Robinson (2002), we confirm a reversal of fortune for colonized countries as territories, but find persistence of fortune for people and their descendants. Persistence results are at least as strong for three alternative measures of early development, for which reversal for territories, however, fails to hold. Additional exercises lend support to Glaeser et al.'s (2004) view that human capital is a more fundamental channel of influence of precolonial conditions on modern development than is quality of institutions. (JEL J11, J24, N10, N30, O15, O43, R11)",2014.0,mixed,"we confirm a reversal of fortune for colonized countries as territories, but find persistence of fortune for people and their descendants.",abstract,replication,True,1.0,observatory,already_in_flora,1,False,exact_pair,manual_entry,"observatory: The abstract explicitly references and re-tests the ‘‘reversal of fortune’’ result using the same 1500 development indicators from Acemoglu, Johnson, and Robinson (2002), while adding new data on place-of-origin of today's populations, indicating a replication (new data) of a single prior study. | The replication reproduces the original 'reversal of fortune' for territories but also reports contrasting evidence of persistence when analyzing people and their descendants, so some findings replicate while others do not. [outcome_confidence: high]",unmatched,,
,,,,"Spagnolo, J. F., Rossignol, E., Bullitt, E., & Kirkegaard, K. (2010). Enzymatic and nonenzymatic functions of viral RNA-dependent RNA polymerases within oligomeric arrays. RNA, 16(2), 382–393. https://doi.org/10.1261/rna.1955410",10.1261/rna.1955410,https://doi.org/10.1261/rna.1955410,Enzymatic and nonenzymatic functions of viral RNA-dependent RNA polymerases within oligomeric arrays,"Few antivirals are effective against positive-strand RNA viruses, primarily because the high error rate during replication of these viruses leads to the rapid development of drug resistance. One of the favored current targets for the development of antiviral compounds is the active site of viral RNA-dependent RNA polymerases. However, like many subcellular processes, replication of the genomes of all positive-strand RNA viruses occurs in highly oligomeric complexes on the cytosolic surfaces of the intracellular membranes of infected host cells. In this study, catalytically inactive polymerases were shown to participate productively in functional oligomer formation and catalysis, as assayed by RNA template elongation. Direct protein transduction to introduce either active or inactive polymerases into cells infected with mutant virus confirmed the structural role for polymerase molecules during infection. Therefore, we suggest that targeting the active sites of polymerase molecules is not likely to be the best antiviral strategy, as inactivated polymerases do not inhibit replication of other viruses in the same cell and can, in fact, be useful in RNA replication complexes. On the other hand, polymerases that could not participate in functional RNA replication complexes were those that contained mutations in the amino terminus, leading to altered contacts in the folded polymerase and mutations in a known polymerase–polymerase interaction in the two-dimensional protein lattice. Thus, the functional nature of multimeric arrays of RNA-dependent RNA polymerase supplies a novel target for antiviral compounds and provides a new appreciation for enzymatic catalysis on membranous surfaces within cells.",2010.0,,,,,,,openalex,needs_review,6,False,,,openalex:,unmatched,,
Priming. (2011). Communication. https://doi.org/10.1093/obo/9780199756841-0012,10.1093/obo/9780199756841-0012,Priming,2011.0,"Schlitz, M., & Delorme, A. (2021). Examining implicit beliefs in a replication attempt of a time-reversed priming task. F1000Research, 10, 5. https://doi.org/10.12688/f1000research.27169.1",10.12688/f1000research.27169.1,https://doi.org/10.12688/f1000research.27169.1,Examining implicit beliefs in a replication attempt of a time-reversed priming task,"<ns3:p><ns3:bold>Background:</ns3:bold>Psi research is a controversial area of science that examines telepathy, clairvoyance, precognition, and psychokinesis (mind over matter). Central to the debate over the existence of psi is of whether independent investigators can replicate reportedly successful psi experiments. One important variable involves the beliefs of experimenters and participants. A preregistered experiment is presented that sought to replicate and extend previously published parapsychology experiments suggestive of precognition by examining implicit beliefs.</ns3:p><ns3:p><ns3:bold>Methods:</ns3:bold>On each trial of the standard (non-psi) priming task, a pleasant or unpleasant word (the ""prime"") is briefly shown on computer screen, followed immediately by a pleasant or unpleasant picture. Trials on which the image and the priming word have different valences are termed “Incongruent”; trials on which the picture and the priming word share a common valence are termed “Congruent”. Participants in such experiments typically respond more slowly on Incongruent trials than on Congruent trials. In this ""time-reversed"" psi version of the experiment, the presumed cause-effect sequence is reversed so that the prime is not flashed until<ns3:italic>after</ns3:italic>the participant has already recorded his or her judgment. The experimental hypothesis remains the same: response times will be longer on trials with Incongruent prime/picture pairs than on trials with Congruent prime/picture pairs. Additionally, the study assesses expectations of success on the psi task of 32 experimenters—each testing 12 participants—using self-report questionnaires and the Implicit Association Task (IAT).</ns3:p><ns3:p><ns3:bold>Results:</ns3:bold>A significant correlation was found between the Implicit Association Test (IAT) effect and the participants’ reported beliefs in psi, with the effect in the direction opposite to the hypothesized correlation.</ns3:p><ns3:p><ns3:bold>Conclusions:</ns3:bold>This study offers an innovative approach to the role of beliefs in psi in a precognition study and speaks to the challenges of replication in controversial science.</ns3:p>",2021.0,failed,"A significant correlation was found between the Implicit Association Test (IAT) effect and the participants’ reported beliefs in psi, with the effect in the direction opposite to the hypothesized correlation.",abstract,replication,True,1.0,openalex,llm_confirmed,1,False,,crossref_llm_search,"openalex: The title and abstract explicitly call this a 'replication attempt' of a time-reversed (retroactive) priming psi task and describe new data collection (32 experimenters × 12 participants). The abstract does not name or cite the original paper, so the exact target study cannot be extracted from the provided text; Bem (2011) 'Feeling the Future' is a likely candidate to search for given the topic and paradigm. | The abstract does not report replication of the primary time-reversed priming effect; instead it reports an unexpected correlation opposite to predictions, so the original precognition finding was not confirmed. [outcome_confidence: medium]",unmatched,,
,,,,"INAGAKI, M., YAMAMOTO, M., XIJIER, CAIRANGZHUOMA, UCHIDA, K., YAMAGUCHI, H., KAWASAKI, M., YAMASHITA, K., YABE, T., & KANAMARU, Y. (2010). In Vitroandin VivoEvaluation of the Efficacy of Bovine Colostrum against Human Rotavirus Infection. Bioscience, Biotechnology, and Biochemistry, 74(3), 680–682. https://doi.org/10.1271/bbb.90862",10.1271/bbb.90862,https://doi.org/10.1271/bbb.90862,<i>In Vitro</i>and<i>in Vivo</i>Evaluation of the Efficacy of Bovine Colostrum against Human Rotavirus Infection,"We found that skimmed and concentrated bovine late colostrum (SCBLC) obtained from normal cows at 6-7 d after parturition exhibited high potency in inhibiting replication of human rotavirus (HRV) in vitro. Furthermore, prophylactic oral administration of SCBLC once before inoculation of HRV prevented the development of diarrhea in suckling mice in vivo. SCBLC from normal cows might be useful in the prevention of HRV-induced severe gastroenteritis in immunocompromised hosts.",2010.0,,,,,,,openalex,false_positive,7,True,,,openalex: The abstract describes an original experimental evaluation (in vitro and in vivo) of bovine colostrum against human rotavirus and does not state it is repeating or reanalyzing a prior specific study; thus it is not a replication or reproduction.,unmatched,,
,,,,"Jelenković, P. R., & Tan, J. (2010). Modulated Branching Processes, Origins of Power Laws, and Queueing Duality. Mathematics of Operations Research, 35(4), 807–829. https://doi.org/10.1287/moor.1100.0464",10.1287/moor.1100.0464,https://doi.org/10.1287/moor.1100.0464,"Modulated Branching Processes, Origins of Power Laws, and Queueing Duality","Power law distributions have been repeatedly observed in a wide variety of socioeconomic, biological, and technological areas. In many of the observations, e.g., city populations and sizes of living organisms, the objects of interest evolve because of the replication of their many independent components, e.g., births and deaths of individuals and replications of cells. Furthermore, the rates of replications are often controlled by exogenous parameters causing periods of expansion and contraction, e.g., baby booms and busts, economic booms and recessions, etc. In addition, the sizes of these objects often have reflective lower boundaries, e.g., cities do not fall below a certain size, low-income individuals are subsidized by the government, companies are protected by bankruptcy laws, etc. Hence, it is natural to propose reflected modulated branching processes as generic models for many of the preceding observations. Indeed, our main results show that the proposed mathematical models result in power law distributions under quite general polynomial Gärtner-Ellis conditions, the generality of which could explain the ubiquitous nature of power law distributions. In addition, on a logarithmic scale, we establish an asymptotic equivalence between the reflected branching processes and the corresponding multiplicative ones. The latter, as recognized by Goldie [Goldie, C. M. 1991. Implicit renewal theory and tails of solutions of random equations. Ann. Appl. Probab. 1(1) 126–166], is known to be dual to queueing/additive processes. We emphasize this duality further in the generality of stationary and ergodic processes.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: This is a theoretical/mathematical modeling paper (branching processes and queueing duality), not an attempt to reproduce or replicate empirical or computational results. It cites Goldie (1991) for background theory but does not reanalyze or retest that specific study's data or claims.",unmatched,,
,,,,Bai et al. (2022). The Impacts of Algorithmic Work Assignment on Fairness Perceptions and Productivity: Evidence from Field Experiments. Manufacturing & Service Operations Management.,10.1287/msom.2022.1120,https://doi.org/10.1287/msom.2022.1120,The Impacts of Algorithmic Work Assignment on Fairness Perceptions and Productivity: Evidence from Field Experiments,"Problem definition: We study how algorithmic (versus human-based) task assignment processes change task recipients’ fairness perceptions and productivity. Academic/practical relevance: Since algorithms are widely adopted by businesses and often require human involvement, understanding how humans perceive algorithms is instrumental to the success of algorithm design in operations. Particularly, the growing concern that algorithms may reproduce inequality historically exhibited by humans calls for research about how people perceive the fairness of algorithmic decision making (relative to traditional human-based decision making) and, consequently, adjust their work behaviors. Methodology: In a 15-day-long field experiment with Alibaba Group in a warehouse where workers pick products following orders (or “pick lists”), we randomly assigned half of the workers to receive pick lists from a machine that ostensibly relied on an algorithm to distribute pick lists, and the other half to receive pick lists from a human distributor. Results: Despite that we used the same underlying rule to assign pick lists in both groups, workers perceive the algorithmic (versus human-based) assignment process as fairer by 0.94–1.02 standard deviations. This yields productivity benefits: receiving tasks from an algorithm (versus a human) increases workers’ picking efficiency by 15.56%–17.86%. These findings persist beyond the first day when workers were involved in the experiment, suggesting that our results are not limited to the initial phrase when workers might find algorithmic assignment novel. We replicate the main results in another field experiment involving a nonoverlapping sample of warehouse workers. We also show via online experiments that people in the United States also view algorithmic task assignment as fairer than human-based task assignment. Managerial implications: We demonstrate that algorithms can have broader impacts beyond offering greater efficiency and accuracy than humans: introducing algorithmic assignment processes may enhance fairness perceptions and productivity. This insight can be utilized by managers and algorithm designers to better design and implement algorithm-based decision making in operations. Supplemental Material: The e-companion is available at https://doi.org/10.1287/msom.2022.1120 .",2022.0,,,,,,,openalex,false_positive,7,True,,,openalex: This paper reports original field experiments (with an internal replication across a second sample) rather than reproducing or replicating a previously published external study; therefore it is not a replication/reproduction of another study.,unmatched,,
,,,,Li & Wibbens (2022). Broken Effects? How to Reduce False Positives in Panel Regressions. Strategy Science.,10.1287/stsc.2022.0172,https://doi.org/10.1287/stsc.2022.0172,Broken Effects? How to Reduce False Positives in Panel Regressions,"Many published papers in the management field have used statistical methods that, according to the latest insights in econometrics, can lead to elevated rates of false positives: results that appear “significant,” whereas they are not. The question is how problematic these less robust econometric analyses are in practice for management research. This paper presents simulations and an empirical replication to investigate two widespread but now largely discredited practices in panel data analysis: nonclustered standard errors and random effects (RE). The simulations indicate that these two practices can lead to strongly elevated rates of false positives in typical empirical settings studied in management research. The often-advocated Hausman test does not always prevent false positives in RE regressions. Replication of a published regression that used RE and classic standard errors yields that many of the coefficients reported as significant in the original analysis become insignificant when using fixed effects and clustered standard errors, on a slightly different sample. Based on the findings in this paper, published results using nonclustered standard errors or RE estimates for panel data should be interpreted with great care, because the probability that they are false positives can be much larger than reported. Going forward, empirical researchers should cluster standard errors to account for serial correlation and use fixed rather than random effects to account for unobserved heterogeneity. Funding: X. Li received financial support from the Ian Potter ’93D PhD Award. Supplemental Material: The online appendix is available at https://doi.org/10.1287/stsc.2022.0172 .",2022.0,failed,many of the coefficients reported as significant in the original analysis become insignificant when using fixed effects and clustered standard errors,abstract,replication,True,1.0,openalex,llm_confirmed,3,False,,,"openalex: The abstract explicitly states an 'empirical replication' of a published regression and that results change 'on a slightly different sample,' indicating a new-data replication of one prior study; however no citation or author of the original paper is provided. | The empirical replication showed that many coefficients significant in the original analysis became insignificant under fixed effects and clustered standard errors, so the original findings did not replicate. [outcome_confidence: high]",unmatched,,
,,,,"KHUMPUANG, S., & RUTHER, P. (2010). 711 Megasonically Mold Filling for Replication of Complex Microstructures. The Proceedings of Ibaraki District Conference, 2010.18(0), 195–198. https://doi.org/10.1299/jsmeibaraki.2010.18.195",10.1299/jsmeibaraki.2010.18.195,https://doi.org/10.1299/jsmeibaraki.2010.18.195,711 Megasonically Mold Filling for Replication of Complex Microstructures,"The novel method of filling complex micromold inserts for both positive and negative structures, i.e. high-aspect-ratio micropillar and deep microcavities are presented. Hollow microneedle array is the target prototype of such a complex replication. The mold features employed in this work are; an array of SU-8 pillars formed on a slope of silicon cavities and two-part insert of silicon cavity array aligned with comb structures. The cavities are fabricated using a combination technique of anisotropic wet etching and deep reactive ion etching. Megasonic agitation is applied during polymer casting into the mold inserts to resize the micro air-bubbles until disappeared.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: The paper describes a fabrication method for molding/replicating microstructures (manufacturing replication), not a scientific replication or reanalysis of a prior study. No original study is cited as being retested or reanalyzed in the title/abstract.",unmatched,,
,,,,"NAGATO, K., HATTORI, S., HAMAGUCHI, T., & NAKAO, M. (2010). Rapid Replication of High-Aspect-Ratio Nanostructures by Heat-Assisted Injection Molding(&lt;Special Issue&gt;The 1st Symposium on Micro-Nano Engineering). TRANSACTIONS OF THE JAPAN SOCIETY OF MECHANICAL ENGINEERS Series C, 76(768), 1908–1910. https://doi.org/10.1299/kikaic.76.1908",10.1299/kikaic.76.1908,https://doi.org/10.1299/kikaic.76.1908,Rapid Replication of High-Aspect-Ratio Nanostructures by Heat-Assisted Injection Molding(&lt;Special Issue&gt;The 1st Symposium on Micro-Nano Engineering),"Injection molding intrinsically has advantages of high throughput and flexibility of the replica shapes, as you can see that various industrial components and machine parts made from polymer are produced by using injection molding. However, nanostructures, especially with fine and high-aspect-ratio nanostructured surfaces, are hardly replicated by injection molding, because a solidified skin layer is formed on the polymer surface at the moment the melted polymer contacts the mold surface. In this note, we introduce the heat-assisted injection molding, in which the mold surface is dynamically heated during polymer injection. This process realizes as short cycle times as conventional injection molding and as high replication factors as other thermal nanoimprint technique, in which the polymer plate is pressed by a mold and heated over its glass transition temperature. We show the replication of 800-nm-pitch and 350-nm-depth line-and-spaces. And 90-nm-pitch line-and-space and 180-nm-pitch hole patterns were also successfully replicated within 15s using this method.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: The paper uses 'replication' to mean physically replicating nanostructures via a manufacturing process (heat-assisted injection molding), not to reproduce or replicate a prior scientific study or analysis; no original study is cited as being replicated.",unmatched,,
"Munro, M. J., & Derwing, T. M. (1995). Foreign Accent, Comprehensibility, and Intelligibility in the Speech of Second Language Learners. Language Learning, 45(1), 73–97. Portico. https://doi.org/10.1111/j.1467-1770.1995.tb00963.x",10.1111/j.1467-1770.1995.tb00963.x,"Foreign Accent, Comprehensibility, and Intelligibility in the Speech of Second Language Learners",1995.0,"Pease, C. (2019). Accentedness, comprehensibility and intelligibility of L2 speech: A replication and extended study. <i>Unpublished</i>. https://doi.org/10.13140/RG.2.2.22630.98880",10.13140/rg.2.2.22630.98880,https://doi.org/10.13140/rg.2.2.22630.98880,"Accentedness, comprehensibility and intelligibility of L2 speech: A replication and extended study","This thesis examines the relationship between the accentedness, comprehensibility and intelligibility of Second Language (L2) speech, and is based on the replication of an empirical study carried out in the 1990s by Munro and Derwing (1995a). Following the methodology of the original study, ratings were collected from native English listeners for the accentedness, comprehensibility, and intelligibility of spontaneous L2 English utterances of mother tongue Arabic speakers. These ratings were then correlated with each other to ascertain what bearing a foreign accent has on the comprehensibility and intelligibility of speech. The three listener ratings were also correlated to error counts for phonetic and phonemic errors, and non-native intonation, in an attempt to establish which error types affect an utterance most in terms of its accentedness, comprehensibility and intelligibility.&#13;\n&#13;\nThe original study resulted in two major findings: firstly, accentedness and intelligibility were found to be orthogonal; and secondly, non-native intonation was found to be more highly correlated with problems of comprehensibility than were phonetic and phonemic errors. These two findings were re-examined in the context of the present study. The results suggest that if language is treated as a complex system, whose behaviour is based on the interaction of all of its parts, as Dynamic Systems Theory (De Bot, 2008) proposes, then i) accentedness does in fact affect the intelligibility of L2 speech, and ii) both segmental and suprasegmental issues contribute to problems of comprehensibility. The main finding of this study is that whether speech is comprehensible and intelligible is based on the outcome of the interactions of its parts. It concludes that to examine individual linguistic aspects of an utterance as isolated phenomena is ineffective.",2019.0,failed,accentedness does in fact affect the intelligibility of L2 speech,abstract,replication,True,1.0,openalex,llm_confirmed,1,False,,crossref_llm_search,"openalex: The abstract explicitly states it is a replication of Munro and Derwing (1995a) and describes collecting new listener ratings (new empirical data) following the original methodology, so this is a single replication of that 1995 study. | The original reported accentedness and intelligibility were orthogonal and that intonation was most linked to comprehensibility. The replication found the opposite (accentedness affects intelligibility; both segmental and suprasegmental issues affect comprehensibility), so it does not confirm the original findings. [outcome_confidence: high]",unmatched,,
,,,,"Ballan, M. (2010). Fraxinetum: An Islamic Frontier State in Tenth-Century Provence. Comitatus: A Journal of Medieval and Renaissance Studies, 41(1), 23–76. https://doi.org/10.1353/cjm.2010.0053",10.1353/cjm.2010.0053,https://doi.org/10.1353/cjm.2010.0053,Fraxinetum: An Islamic Frontier State in Tenth-Century Provence,"The primary focus of this article is a reconsideration of Fraxinetum as an Islamic frontier state in tenth-century Provence. Traditional scholarship about Fraxinetum has interpreted the Muslim presence in Provence within the context of piracy. The interpretation of Fraxinetum as a pirate base centers largely on the interpretation of primary documents and the replication of the arguments of the Latin chroniclers within modern scholarship. Seeking to challenge the view that the Muslims in Francia were merely bandits, through a reassessment of primary sources and an analysis of some nontextual evidence, this article demonstrates that Fraxinetum was the political, military, and economic center of an Islamic frontier state in Provence that was populated largely by ghāzīs or mujāhidīn (Islamic frontier warriors) from al-Andalus. Reconceptualizing Fraxinetum as an Islamic frontier state should not be understood to mean that Muslim activity in Provence was centrally administered, but intends to convey that jihād , as well as certain economic motivations, played a crucial role in this frontier military settlement and, as such, needs to be adequately understood. This will allow scholars to comprehend more fully the nature of Fraxinetum, providing additional insight into the Muslim presence in Provence, and contributing to the understanding of the phenomenon of Islamic frontier states more broadly during the tenth century.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: This is a historical reinterpretation of Fraxinetum based on reassessment of primary sources and nontextual evidence, not an attempt to reproduce or replicate a prior empirical or computational study. The paper challenges traditional scholarship rather than reanalyzing or repeating a specific previous study.",unmatched,,
,,,,"Rena-Dozier, E. (2010). Gothic Criticisms: Wuthering Heights and Nineteenth-Century Literary History. ELH, 77(3), 757–775. https://doi.org/10.1353/elh.2010.0000",10.1353/elh.2010.0000,https://doi.org/10.1353/elh.2010.0000,Gothic Criticisms: Wuthering Heights and Nineteenth-Century Literary History,"The history of the novel in the nineteenth century depended on a developmental narrative in which the domestic novel became the basic form of British fiction, taking over from earlier forms such as the picaresque or the gothic. By revealing that the efforts of the domestic to separate itself from the gothic result in a replication of gothic violence, Wuthering Heights attacked the fundamental premises of the narrative of the rise of the novel, disturbing the progressive logic of the history of the novel by demonstrating the interdependence, and ultimate indistinguishability, of gothic and domestic modes. In so doing, Wuthering Heights became a deeply uncomfortable text for nineteenth-century literary history, so uncomfortable that it remained marginal for nearly a century after its publication.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: This is a literary-critical analysis of Wuthering Heights and nineteenth-century novel history, not an empirical replication or computational reproduction of a prior scientific study; no original study is being reanalyzed or retested.",unmatched,,
"Jowett, J. B., Elliott, K. S., Curran, J. E., Hunt, N., Walder, K. R., Collier, G. R., Zimmet, P. Z., & Blangero, J. (2004). Genetic Variation in BEACON Influences Quantitative Variation in Metabolic Syndrome–Related Phenotypes. Diabetes, 53(9), 2467–2472. https://doi.org/10.2337/diabetes.53.9.2467",10.2337/diabetes.53.9.2467,Genetic Variation in <i>BEACON</i> Influences Quantitative Variation in Metabolic Syndrome–Related Phenotypes,2004.0,"Bozaoglu, K., Curran, J. E., Elliott, K. S., Walder, K. R., Dyer, T. D., Rainwater, D. L., VandeBerg, J. L., Comuzzie, A. G., Collier, G. R., Zimmet, P., MacCluer, J. W., Jowett, J. B., & Blangero, J. (2006). Association of Genetic Variation Within UBL5 with Phenotypes of Metabolic Syndrome. Human Biology, 78(2), 147–159. https://doi.org/10.1353/hub.2006.0033",10.1353/hub.2006.0033,https://doi.org/10.1353/hub.2006.0033,Association of Genetic Variation Within UBL5 with Phenotypes of Metabolic Syndrome,"The BEACON gene was initially identified using the differential display polymerase chain reaction on hypothalamic mRNA samples collected from lean and obese Psammomys obesus, a polygenic animal model of obesity. Hypothalamic BEACON gene expression was positively correlated with percentage of body fat, and intracerebroventricular infusion of the Beacon protein resulted in a dose-dependent increase in food intake and body weight. The human homolog of BEACON, UBL5, is located on chromosome 19p in a region previously linked to quantitative traits related to obesity. Our previous studies showed a statistically significant association between UBL5 sequence variation and several obesity- and diabetes-related quantitative physiological measures in Asian Indian and Micronesian cohorts. Here we undertake a replication study in a Mexican American cohort where the original linkage signal was first detected. We exhaustively resequenced the complete gene plus the putative promoter region for genetic variation in 55 individuals and identified five single nucleotide polymorphisms (SNPs), one of which was novel. These SNPs were genotyped in a Mexican American cohort of 900 individuals from 40 families. Using a quantitative trait linkage disequilibrium test, we found significant associations between UBL5 genetic variants and waist-to-hip ratio (p = 0.027), and the circulating concentrations of insulin (p = 0.018) and total cholesterol (p = 0.023) in fasted individuals. These data are consistent with our earlier published studies and further support a functional role for the UBL5 gene in influencing physiological traits that underpin the development of metabolic syndrome.",2006.0,successful,"we found significant associations between UBL5 genetic variants and waist-to-hip ratio (p = 0.027), and the circulating concentrations of insulin (p = 0.018) and total cholesterol (p = 0.023) in fasted individuals.",abstract,replication,True,1.0,observatory,already_in_flora,1,False,exact_pair,manual_entry,"observatory: Abstract explicitly states 'we undertake a replication study in a Mexican American cohort' and describes new data collection (resequencing 55 individuals and genotyping 900), replicating the authors' earlier linkage/association findings for UBL5. | The replication tested UBL5 (human homolog of BEACON) in a Mexican American cohort and observed statistically significant associations with waist-to-hip ratio, fasting insulin, and total cholesterol, which the authors state are consistent with earlier published studies. [outcome_confidence: high]",unmatched,,
,,,,"Cooper, C. A., & Knotts, H. G. (2010). Declining Dixie: Regional Identification in the Modern American South. Social Forces, 88(3), 1083–1101. https://doi.org/10.1353/sof.0.0284",10.1353/sof.0.0284,https://doi.org/10.1353/sof.0.0284,Declining Dixie: Regional Identification in the Modern American South,"We replicate and extend John Shelton Reed's classic work on regional identification by examining and modeling the prevalence of the words “Dixie” and “Southern” in business names across 100 cities and four decades. We find that the instances of “Dixie” have dropped precipitously, although identification with the word “Southern” has remained more constant, providing evidence of a trend we term re-southernization. We also find that the relative number of blacks in the population provides the most consistent explanation of regional identity. Population density has also emerged as a significant predictor of regional identification in more recent time periods. These findings contribute to the literature on regional identification, the politics of naming and the sociology of the South.",2010.0,successful,"We find that the instances of “Dixie” have dropped precipitously, although identification with the word “Southern” has remained more constant",abstract,replication,True,1.0,openalex,llm_confirmed,3,False,,,"openalex: The abstract explicitly states it 'replicate[s] and extend[s] John Shelton Reed's classic work,' indicating a single replication that uses new data (business names across 100 cities and four decades). The abstract does not give a year or full citation for Reed's original study, so the exact reference could not be extracted. | The abstract explicitly states the authors replicated Reed's work and reports the same core pattern (sharp decline in uses of “Dixie” while “Southern” remains stable), indicating a successful replication. [outcome_confidence: high]",unmatched,,
,,,,"Bai, B., Laukkanen, J., Kuittinen, M., & Siitonen, S. (2010). Optimization of nonbinary slanted surface-relief gratings as high-efficiency broadband couplers for light guides. Applied Optics, 49(28), 5454. https://doi.org/10.1364/ao.49.005454",10.1364/ao.49.005454,https://doi.org/10.1364/ao.49.005454,Optimization of nonbinary slanted surface-relief gratings as high-efficiency broadband couplers for light guides,"We propose and investigate the use of slanted surface-relief gratings with nonbinary profiles as high-efficiency broadband couplers for light guides. First, a Chandezon-method-based rigorous numerical formulation is presented for modeling the slanted gratings with overhanging profiles. Then, two typical types of slanted grating couplers--a sinusoidal one and a trapezoidal one--are studied and optimized numerically, both exhibiting a high coupling efficiency of over 50% over the full band of white LED under the normal illumination of unpolarized light. Reasonable structural parameters with nice tolerance have been obtained for the optimized designs. It is found that the performance of the couplers depends little on the grating profile shape, but primarily on the grating period and the slant angle of the ridge. The underlying mechanism is analyzed by the equivalence rules of gratings, which provide useful guidelines for the design and fabrication of the couplers. Preliminary investigation has been performed on the fabrication and replication of the slanted overhanging grating couplers, which shows the feasibility of fabrication with mature microfabrication techniques and the perspective for mass production.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: The paper presents original modeling, optimization, and fabrication work on slanted surface-relief gratings; the term 'replication' in the abstract refers to fabrication/mass-production feasibility, not a scientific replication or reanalysis of a prior study.",unmatched,,
,,,,"Kim, J. M., Cho, I. H., Lee, S. Y., Kang, H. C., Conley, R., Liu, C., Macrander, A. T., & Noh, D. Y. (2010). Observation of the Talbot effect using broadband hard x-ray beam. Optics Express, 18(24), 24975. https://doi.org/10.1364/oe.18.024975",10.1364/oe.18.024975,https://doi.org/10.1364/oe.18.024975,Observation of the Talbot effect using broadband hard x-ray beam,"We demonstrated the Talbot effect using a broadband hard x-ray beam (Δλ/λ ~1). The exit wave-field of the x-ray beam passing through a grating with a sub micro-meter scale period was successfully replicated and recorded at effective Talbot distance, Z(T). The period was reduced to half at Z(T)/4 and 3/4Z(T), and the phase reversal was observed at Z(T)/2. The propagating wave-field recorded on photoresists was consistent with a simulated result.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: This is an experimental demonstration of the Talbot effect using broadband hard x-rays; the word 'replicated' refers to reproducing the physical wave-field pattern, not a scientific replication/reproduction of a previously published study. The abstract does not reference or reanalyze any specific prior paper.",unmatched,,
